Car ID,Brand,Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model
56,MERCEDES-BENZ,2014,3.5,Petrol,Automatic,58634,Jeep,3763,ML 350
57,TOYOTA,2012,1.8,Petrol,Automatic,108740,Sedan,18189,Prius
58,TOYOTA,2010,3.3,Hybrid,Automatic,164587,Jeep,5645,Highlander
59,TOYOTA,2019,1.5,Petrol,Automatic,17185,Sedan,7527,Yaris
60,HONDA,2014,1.4,Hybrid,Automatic,9942,Sedan,21953,Civic
61,TOYOTA,2012,2.5,Petrol,Automatic,121200,Sedan,21953,Camry
62,HYUNDAI,2012,1.6,Petrol,Automatic,75411,Sedan,19121,Elantra
63,HYUNDAI,2014,2.0,Diesel,Automatic,42993,Jeep,36065,Santa FE
64,HONDA,2012,1.3,Hybrid,Tiptronic,51574,Hatchback,8781,FIT
65,CHEVROLET,2010,1.8,Petrol,Automatic,25335,Sedan,6247,Cruze
66,CHEVROLET,2012,2.0,Diesel,Automatic,106876,Jeep,16289,Orlando
67,DAEWOO,2008,2.0,Petrol,Automatic,64154,Sedan,6981,Lacetti
68,HYUNDAI,2016,2.0,Petrol,Tiptronic,65489,Sedan,27284,Elantra
69,BMW,2013,2.0,Petrol,Automatic,99419,Coupe,32929,428 Sport Line
70,MERCEDES-BENZ,2004,3.2,Petrol,Tiptronic,132973,Sedan,15053,E 320
71,HYUNDAI,2009,2.0,Petrol,Automatic,76644,Coupe,15458,Genesis
72,CHEVROLET,2014,1.4,Petrol,Automatic,50224,Sedan,2901,Cruze
73,LEXUS,2010,4.6,Petrol,Automatic,171026,Jeep,15681,GX 460
74,MERCEDES-BENZ,2004,2.2,Diesel,Manual,186411,Microbus,26657,Sprinter
75,TOYOTA,2007,1.5,Petrol,Automatic,197845,Hatchback,10663,Prius
76,FORD,2015,2.0,Petrol,Automatic,56669,Sedan,12858,Focus SE
77,BMW,2013,3.0,Diesel,Automatic,85626,Jeep,1019,X5
78,KIA,2016,1.2,Petrol,Manual,66487,Hatchback,12858,Picanto
79,BMW,2008,3.0,CNG,Tiptronic,130741,Sedan,15000,328
80,HYUNDAI,2016,2.5,Diesel,Automatic,53438,Universal,44752,H1
81,HYUNDAI,2010,1.6,Petrol,Automatic,76267,Sedan,17158,Elantra
82,MITSUBISHI,2005,2.4,LPG,Tiptronic,89477,Jeep,12231,Airtrek
83,MITSUBISHI,1997,1.3,Petrol,Manual,62137,Sedan,1254,Lancer
84,SSANGYONG,2013,2.0,Diesel,Automatic,53254,Jeep,25591,Korando
85,HYUNDAI,2010,2.0,Diesel,Automatic,36637,Jeep,14897,Santa FE
86,TOYOTA,2013,2.5,Hybrid,Tiptronic,55923,Sedan,23521,Camry
87,TOYOTA,2009,3.3,Hybrid,Automatic,197818,Sedan,1019,Highlander
88,FORD,2015,2.0,Petrol,Automatic,44399,Sedan,16935,Fusion
89,HYUNDAI,2014,2.0,LPG,Automatic,215286,Sedan,11604,Sonata
90,HYUNDAI,2016,2.0,Diesel,Automatic,36981,Jeep,51965,Santa FE
91,MERCEDES-BENZ,1999,2.2,Diesel,Manual,69041,Sedan,9408,C 220
92,HYUNDAI,2008,2.5,Diesel,Automatic,46257,Minivan,13328,H1
93,NISSAN,2012,2.0,Petrol,Tiptronic,88856,Minivan,17876,Serena
94,TOYOTA,2008,2.4,Petrol,Automatic,83885,Jeep,20071,RAV 4
95,HYUNDAI,2011,2.5,Diesel,Automatic,77326,Minivan,22894,H1
96,HONDA,2012,1.5,Hybrid,Automatic,90971,Sedan,2901,Civic
97,MITSUBISHI,1997,2.4,Petrol,Automatic,88235,Jeep,15681,Pajero
98,LEXUS,2010,4.6,Petrol,Automatic,96823,Jeep,39829,GX 460
99,HYUNDAI,2013,2.4,Petrol,Tiptronic,80778,Sedan,18660,Sonata
100,MERCEDES-BENZ,2017,2.0,Petrol,Automatic,31646,Sedan,22580,E 300
101,HYUNDAI,2014,2.0,LPG,Automatic,164584,Sedan,11604,Sonata
102,GMC,2013,2.4,Petrol,Automatic,86344,Jeep,5488,TERRAIN
103,TOYOTA,2018,2.5,Hybrid,Automatic,21784,Sedan,18817,Camry
104,HONDA,2015,1.8,Petrol,Automatic,20710,Jeep,21169,Hr-v EX
105,FIAT,2011,1.2,Petrol,Automatic,87613,Coupe,9095,500
106,VOLKSWAGEN,2014,2.0,Diesel,Automatic,51196,Sedan,1568,Jetta
107,SUBARU,2005,2.0,Petrol,Tiptronic,111847,Goods wagon,3136,Legacy
108,HYUNDAI,2013,1.8,Petrol,Tiptronic,73272,Sedan,17876,Elantra sport limited
109,HYUNDAI,2016,2.0,LPG,Automatic,173852,Sedan,11290,Sonata
110,TOYOTA,2010,3.5,Petrol,Tiptronic,141175,Minivan,36065,Sienna
111,HYUNDAI,2012,2.5,Diesel,Automatic,103237,Universal,21395,H1
112,HYUNDAI,2016,2.0,LPG,Automatic,160752,Sedan,15681,Sonata
113,TOYOTA,2016,1.5,Petrol,Automatic,16036,Hatchback,40070,Aqua
114,MERCEDES-BENZ,2008,1.7,Petrol,Automatic,111847,Hatchback,11917,A 170
115,SSANGYONG,2013,2.0,Diesel,Automatic,85294,Jeep,35927,REXTON
116,TOYOTA,2014,1.8,Hybrid,Automatic,99419,Sedan,21012,Prius
117,TOYOTA,2018,3.5,Petrol,Automatic,16999,Sedan,21012,Tacoma
118,KIA,2009,2.9,Diesel,Automatic,52305,Minivan,13172,Carnival grand
119,HYUNDAI,2011,2.0,Petrol,Automatic,66490,Coupe,15624,Genesis
120,OPEL,1997,1.6,Petrol,Manual,9321,Sedan,4547,Vectra
121,INFINITI,2015,3.5,Petrol,Automatic,77146,Jeep,5488,QX60
122,HYUNDAI,2012,1.6,Petrol,Automatic,65242,Sedan,20005,Elantra
123,VOLKSWAGEN,2017,1.8,Petrol,Tiptronic,17229,Sedan,36110,Passat
124,HYUNDAI,2016,2.0,Diesel,Automatic,70650,Jeep,43880,Santa FE
125,MERCEDES-BENZ,2014,1.8,Petrol,Tiptronic,42875,Sedan,29479,C 250
126,TOYOTA,2011,2.5,Hybrid,Variator,94448,Sedan,17249,Camry
127,TOYOTA,2003,1.5,Petrol,Automatic,113044,Universal,9408,Vitz funkargo
128,HYUNDAI,2016,2.0,Diesel,Automatic,31227,Jeep,44213,Santa FE
129,BMW,2001,2.5,Petrol,Manual,157083,Sedan,8467,325
130,FORD,2011,2.4,Diesel,Manual,77671,Goods wagon,21950,Transit
131,CHEVROLET,2014,1.4,Petrol,Automatic,97550,Sedan,3136,Cruze
132,MITSUBISHI,1998,3.5,Petrol,Tiptronic,6835,Jeep,9408,Pajero
133,NISSAN,2010,4.0,LPG,Tiptronic,56048,Jeep,31500,Pathfinder
134,MITSUBISHI,2005,3.0,Petrol,Automatic,114332,Minivan,20385,Delica
135,MERCEDES-BENZ,2004,1.9,LPG,Tiptronic,105633,Universal,7840,Vaneo
136,TOYOTA,2018,2.5,Petrol,Tiptronic,15534,Sedan,56450,Camry Se
137,VOLKSWAGEN,2014,2.0,Diesel,Automatic,70348,Universal,1490,Jetta
138,HONDA,2002,2.4,Petrol,Automatic,161556,Jeep,13172,Cr-v
139,AUDI,2013,3.0,Petrol,Automatic,187472,Hatchback,4704,A7
140,MERCEDES-BENZ,2013,3.5,Diesel,Automatic,66984,Sedan,5802,E 350
141,TOYOTA,2014,2.5,Petrol,Automatic,71582,Sedan,25716,Camry
142,CHEVROLET,2012,2.0,LPG,Automatic,82043,Jeep,14426,Orlando
143,TOYOTA,2001,2.0,Petrol,Automatic,56545,Jeep,10820,RAV 4
144,FORD,2011,3.5,Petrol,Automatic,80267,Jeep,45436,Explorer
145,HYUNDAI,2008,1.6,Diesel,Manual,124896,Hatchback,11917,I30
146,HYUNDAI,2015,2.0,Diesel,Automatic,115458,Jeep,41281,Santa FE
147,NISSAN,1998,2.4,Petrol,Manual,222699,Sedan,4391,Altima
148,PORSCHE,2018,3.6,Petrol,Automatic,18000,Sedan,3058,Cayenne
149,ALFA ROMEO,2001,1.8,Petrol,Manual,149129,Coupe,3700,147
150,SUZUKI,2008,1.6,Petrol,Automatic,60894,Jeep,15681,Grand Vitara
151,LEXUS,2011,1.8,Hybrid,Automatic,75995,Hatchback,6586,CT 200h
152,TOYOTA,2007,1.5,Hybrid,Automatic,86992,Hatchback,12544,Prius
153,HYUNDAI,2014,2.0,Diesel,Automatic,74565,Jeep,30063,Tucson
154,HYUNDAI,2015,1.6,Petrol,Tiptronic,10688,Hatchback,21639,Veloster
155,TOYOTA,2013,2.5,Petrol,Tiptronic,74565,Jeep,36692,RAV 4 XLE Sport
156,TOYOTA,2014,1.5,Hybrid,Variator,41010,Hatchback,12231,Aqua
157,TOYOTA,2004,1.5,Petrol,Variator,186411,Sedan,3136,Sienta
158,TOYOTA,2009,1.8,Hybrid,Variator,142915,Sedan,10663,Prius
159,HONDA,2013,1.3,Petrol,Automatic,68641,Hatchback,5620,FIT
160,HONDA,2012,1.3,Hybrid,Variator,39768,Hatchback,9408,FIT
161,VOLKSWAGEN,2013,2.0,Diesel,Tiptronic,111350,Sedan,15367,Passat
162,HYUNDAI,2014,2.5,Diesel,Automatic,111796,Minivan,26594,H1
163,TOYOTA,2013,2.5,Hybrid,Tiptronic,57290,Sedan,36065,Avalon LIMITED
164,KIA,2016,1.6,Diesel,Tiptronic,18020,Sedan,26343,Cerato K3
165,LEXUS,2010,4.6,Petrol,Automatic,221982,Jeep,40142,GX 470
166,HYUNDAI,2013,1.8,Petrol,Tiptronic,31069,Sedan,14000,Elantra
167,CHEVROLET,2014,1.4,Petrol,Automatic,79437,Sedan,17923,Cruze
168,HYUNDAI,2017,1.6,Petrol,Automatic,24975,Jeep,54518,Tucson
169,OPEL,2003,1.6,Petrol,Manual,111847,Hatchback,10349,Astra G
170,TOYOTA,2002,1.3,Petrol,Automatic,71458,Hatchback,8154,Ist
171,VOLKSWAGEN,2013,2.0,Diesel,Automatic,82214,Sedan,7527,Passat
172,TOYOTA,2017,2.5,Petrol,Automatic,37756,Sedan,3450,Camry
173,HYUNDAI,2010,2.0,Diesel,Automatic,88399,Jeep,22063,Tucson
174,HONDA,2012,1.5,Hybrid,Automatic,90971,Sedan,2901,Civic
175,TOYOTA,2013,1.8,Petrol,Automatic,141282,Sedan,4704,Corolla
176,VOLKSWAGEN,2002,2.8,Petrol,Manual,108740,Sedan,5331,Passat
177,HONDA,2013,1.5,Petrol,Automatic,43496,Hatchback,16900,FIT
178,NISSAN,2010,2.5,Petrol,Automatic,75807,Jeep,18189,Rogue
179,MAZDA,2000,2.5,Petrol,Automatic,78914,Minivan,5331,MPV
180,MERCEDES-BENZ,2017,2.0,Petrol,Automatic,27959,Jeep,42651,GLA 250
181,TOYOTA,2012,1.8,Hybrid,Automatic,76009,Hatchback,15524,Prius
182,BMW,2007,3.0,Petrol,Tiptronic,69041,Sedan,17249,530
183,HYUNDAI,2017,1.6,Diesel,Automatic,60894,Sedan,28909,Elantra
184,HYUNDAI,2014,2.0,LPG,Automatic,105027,Sedan,14426,Sonata
185,VOLKSWAGEN,2011,1.4,Petrol,Automatic,78293,Minivan,9000,Sharan
186,MERCEDES-BENZ,2014,3.5,Diesel,Automatic,124385,Sedan,30734,E 350
187,TOYOTA,2013,2.5,Petrol,Automatic,97348,Sedan,22580,Camry
188,HONDA,2014,1.3,Hybrid,Automatic,71427,Hatchback,7464,FIT
189,FORD,2016,2.5,Petrol,Automatic,96219,Sedan,1333,Fusion
190,HYUNDAI,2019,1.6,Diesel,Automatic,8078,Jeep,59865,Tucson
191,TOYOTA,2017,2.7,Petrol,Automatic,58572,Jeep,49237,Tacoma
192,NISSAN,2006,1.8,CNG,Variator,124274,Sedan,7683,Tiida
193,FORD,2013,1.6,Petrol,Automatic,53127,Sedan,22266,Fusion
194,MERCEDES-BENZ,2008,3.0,Diesel,Automatic,109121,Sedan,2430,E 350
195,SSANGYONG,2017,1.6,Diesel,Automatic,45360,Jeep,39161,Actyon
196,FORD,2008,2.2,Diesel,Manual,111847,Microbus,16308,Transit
197,TOYOTA,2009,2.4,Hybrid,Tiptronic,57166,Sedan,17719,Camry
198,LEXUS,2011,4.6,Petrol,Automatic,99505,Jeep,43278,GX 460
199,CHEVROLET,2017,1.4,Petrol,Tiptronic,26098,Sedan,20385,Cruze
200,HYUNDAI,2019,2.0,Diesel,Automatic,29826,Jeep,49858,Tucson
201,NISSAN,1998,3.2,Diesel,Automatic,142915,Minivan,8781,Elgrand
202,HYUNDAI,2017,2.0,Diesel,Automatic,25352,Jeep,51075,Tucson
203,HYUNDAI,2011,2.0,Petrol,Automatic,73006,Coupe,15241,Genesis
204,FORD,2015,2.0,Hybrid,Automatic,55175,Sedan,2587,Fusion
205,HYUNDAI,2008,2.5,Diesel,Automatic,35275,Minivan,15524,H1
206,MERCEDES-BENZ,2014,1.8,Petrol,Tiptronic,43496,Sedan,27911,C 250
207,TOYOTA,2013,2.5,Hybrid,Automatic,85041,Sedan,4861,Camry
208,MERCEDES-BENZ,2005,3.5,Petrol,Automatic,163421,Sedan,29793,S 350
209,HYUNDAI,2012,1.6,Petrol,Automatic,59443,Sedan,18208,Elantra
210,TOYOTA,2013,2.5,Petrol,Tiptronic,40607,Jeep,34497,RAV 4 Le
211,OPEL,2000,1.8,Petrol,Manual,80778,Goods wagon,6272,Zafira
212,CHEVROLET,2007,2.0,Diesel,Automatic,114284,Jeep,4924,Captiva
213,OPEL,2000,2.0,Diesel,Manual,6904,Hatchback,4704,Vectra b
214,HYUNDAI,2016,2.5,Diesel,Automatic,60353,Universal,43576,H1
215,MERCEDES-BENZ,2001,2.0,CNG,Manual,86992,Sedan,7840,C 200
216,TOYOTA,2018,2.0,Petrol,Automatic,14913,Jeep,28225,CHR
217,MAZDA,1998,1.5,Petrol,Manual,186411,Hatchback,2352,323
218,CHEVROLET,2017,1.4,Petrol,Automatic,18078,Hatchback,18817,Cruze
219,FORD,2015,2.0,Hybrid,Automatic,92403,Sedan,4861,Fusion
220,LEXUS,2010,3.5,Hybrid,Automatic,115578,Jeep,13172,RX 450
221,MERCEDES-BENZ,2013,3.5,Petrol,Tiptronic,97431,Sedan,37320,E 350 ამგ
222,TOYOTA,2015,2.5,Hybrid,Automatic,21748,Sedan,39201,Camry
223,HYUNDAI,2018,1.6,LPG,Automatic,22148,Sedan,36426,Elantra
224,HONDA,2006,1.8,Petrol,Manual,155343,Hatchback,8467,Civic
225,MERCEDES-BENZ,2000,3.2,Petrol,Tiptronic,158450,Coupe,7840,CLK 320
226,HONDA,2015,2.4,Petrol,Automatic,72799,Jeep,12701,Cr-v
227,SUBARU,2012,2.5,Petrol,Automatic,175015,Jeep,8154,Forester
228,TOYOTA,2015,2.5,Hybrid,Tiptronic,39547,Sedan,46414,Avalon
229,MERCEDES-BENZ,2015,2.1,Diesel,Automatic,122620,Jeep,45160,ML 250
230,MITSUBISHI,2014,2.0,Petrol,Automatic,84900,Hatchback,1176,Colt Lancer
231,HYUNDAI,2013,1.8,Petrol,Manual,47846,Coupe,12231,Elantra
232,TOYOTA,2007,1.5,Hybrid,Variator,86992,Hatchback,5802,Prius
233,HYUNDAI,2018,2.4,Petrol,Automatic,28269,Sedan,2901,Sonata
234,TOYOTA,2017,1.8,Hybrid,Automatic,29622,Sedan,1882,Prius
235,NISSAN,2010,4.0,Petrol,Automatic,67792,Sedan,22894,Pathfinder
236,HONDA,2013,1.3,Hybrid,Automatic,90099,Sedan,11290,FIT
237,BMW,1997,1.8,LPG,Manual,167770,Sedan,6586,318
238,TOYOTA,2006,2.4,Hybrid,Variator,117315,Sedan,14426,Camry
239,MITSUBISHI,2016,2.4,Petrol,Variator,24233,Jeep,36065,Outlander
240,TOYOTA,2014,2.5,Petrol,Tiptronic,32311,Sedan,27284,Camry SE
241,SUBARU,2016,2.5,Petrol,Variator,21127,Jeep,21639,Forester
242,HYUNDAI,2009,1.6,Petrol,Automatic,86992,Hatchback,7840,I30
243,MERCEDES-BENZ,1998,2.0,CNG,Manual,111849,Sedan,7840,E 200
244,MERCEDES-BENZ,2016,3.0,Petrol,Automatic,36722,Jeep,1646,GLE 350
245,HYUNDAI,2013,2.0,Diesel,Automatic,77050,Jeep,24198,Tucson
246,HONDA,2013,1.5,Petrol,Automatic,21550,Hatchback,25365,FIT
247,CHEVROLET,2014,2.5,Petrol,Automatic,192663,Sedan,1725,Malibu
248,TOYOTA,2012,1.8,Hybrid,Automatic,13919,Sedan,17249,Prius
249,HYUNDAI,2014,2.0,Petrol,Tiptronic,38525,Sedan,31361,Sonata
250,HYUNDAI,2007,1.6,Diesel,Automatic,33727,Sedan,4704,Elantra
251,CHEVROLET,2011,1.8,Petrol,Automatic,84357,Sedan,12720,Cruze
252,HYUNDAI,2013,2.0,Diesel,Automatic,74896,Jeep,26372,Tucson
253,BMW,2003,3.0,LPG,Tiptronic,117439,Jeep,13485,X5
254,HYUNDAI,2014,1.6,Petrol,Automatic,86992,Sedan,25591,Elantra
255,MERCEDES-BENZ,2010,3.0,Petrol,Automatic,67429,Sedan,6429,C 300
256,LEXUS,2010,4.6,Petrol,Automatic,96823,Jeep,39829,GX 460
257,DAEWOO,2009,1.6,Petrol,Automatic,80778,Sedan,8097,Lacetti
258,HYUNDAI,2012,2.0,Hybrid,Automatic,174282,Sedan,18503,Sonata
259,HONDA,2010,1.3,Hybrid,Variator,93206,Sedan,12231,Insight
260,HYUNDAI,2011,2.5,Diesel,Automatic,147795,Universal,17054,H1
261,HONDA,2001,2.0,Petrol,Automatic,68972,Universal,5300,Stream
262,HYUNDAI,2015,2.0,LPG,Automatic,26098,Sedan,9565,Sonata
263,CHEVROLET,2015,2.0,Diesel,Automatic,37666,Sedan,24302,Malibu
264,TOYOTA,2009,2.4,Petrol,Automatic,143164,Sedan,18817,Camry
265,NISSAN,2014,2.5,Petrol,Automatic,79485,Sedan,1960,Altima
266,HYUNDAI,2016,2.4,Petrol,Tiptronic,47846,Sedan,17249,Sonata
267,HYUNDAI,2016,2.0,LPG,Automatic,173994,Sedan,15530,Sonata
268,HYUNDAI,2016,2.0,LPG,Automatic,168313,Sedan,11290,Sonata
269,TOYOTA,2013,1.8,Hybrid,Automatic,73322,Hatchback,24148,Prius
270,HYUNDAI,2014,2.0,LPG,Automatic,225476,Sedan,10036,Sonata
271,HYUNDAI,2015,1.8,Petrol,Tiptronic,52817,Sedan,18817,Elantra
272,LEXUS,2014,1.8,Hybrid,Automatic,82371,Hatchback,10349,CT 200h
273,HYUNDAI,2018,1.7,Diesel,Automatic,23971,Jeep,55823,Tucson
274,TOYOTA,2013,2.5,Petrol,Tiptronic,82518,Sedan,25089,Camry
275,HYUNDAI,2011,2.5,Diesel,Automatic,32738,Minivan,18669,H1
276,FORD,2001,2.4,Diesel,Manual,157335,Microbus,15053,Transit
277,HONDA,2014,1.5,Hybrid,Automatic,47550,Hatchback,10660,FIT
278,HYUNDAI,2016,2.0,Diesel,Automatic,49710,Jeep,37000,Tucson
279,SSANGYONG,2011,2.0,Diesel,Automatic,115831,Jeep,18826,REXTON
280,MERCEDES-BENZ,2011,3.5,Diesel,Automatic,143348,Sedan,14583,E 350
281,MERCEDES-BENZ,2007,2.2,Diesel,Manual,177091,Minivan,21012,Vito
282,MITSUBISHI,2011,0.7,Petrol,Automatic,57166,Hatchback,5645,I
283,SSANGYONG,2010,2.0,Diesel,Automatic,74565,Jeep,18826,Actyon
284,HYUNDAI,2011,2.0,Diesel,Automatic,88235,Jeep,22649,Tucson
285,HYUNDAI,2011,2.5,Diesel,Automatic,26355,Minivan,16590,H1
286,TOYOTA,2014,2.5,Hybrid,Automatic,31690,Sedan,31988,Camry
287,DAEWOO,2009,2.0,Petrol,Automatic,12427,Sedan,8624,Lacetti
288,TOYOTA,2015,2.5,Hybrid,Variator,55302,Sedan,21012,Camry
289,HONDA,2014,1.5,Hybrid,Automatic,70836,Hatchback,10663,FIT
290,VOLKSWAGEN,2006,2.0,Petrol,Manual,100041,Hatchback,13485,GTI
291,MITSUBISHI,2003,1.3,Petrol,Variator,150116,Hatchback,5331,Colt
292,OPEL,2000,1.8,Petrol,Manual,161556,Minivan,7370,Zafira
293,FORD,2003,2.0,Diesel,Manual,121167,Microbus,11900,Transit
294,VOLKSWAGEN,2015,1.8,Petrol,Tiptronic,34175,Sedan,17249,Jetta
295,MITSUBISHI,2006,0.7,Petrol,Manual,195110,Jeep,4391,Pajero Mini
296,FORD,2013,2.0,Hybrid,Tiptronic,74565,Hatchback,17876,C-MAX
297,HONDA,2010,1.3,Hybrid,Tiptronic,97555,Hatchback,11604,FIT
298,TOYOTA,2017,2.5,Petrol,Tiptronic,47224,Jeep,40769,RAV 4 s p o r t
299,LEXUS,2008,3.5,Hybrid,Automatic,152069,Jeep,7997,RX 400
300,VOLKSWAGEN,2011,2.5,Petrol,Automatic,97431,Sedan,14113,Jetta
301,HONDA,2011,1.3,Hybrid,Automatic,116818,Hatchback,11917,FIT
302,HYUNDAI,2013,2.0,Petrol,Automatic,101009,Sedan,12777,Sonata
303,TOYOTA,2013,1.5,Hybrid,Automatic,80778,Hatchback,18817,Prius C
304,TOYOTA,2012,2.5,Hybrid,Variator,51574,Sedan,23521,Camry
305,AUDI,2010,3.2,Petrol,Tiptronic,93454,Jeep,22580,Q5
306,TOYOTA,2011,1.8,Hybrid,Automatic,176891,Hatchback,12544,Prius
307,CHEVROLET,2014,1.4,Petrol,Tiptronic,75186,Sedan,9722,Cruze
308,HYUNDAI,2011,2.4,Hybrid,Automatic,139404,Sedan,3450,Sonata
309,TOYOTA,2014,1.8,Hybrid,Automatic,163664,Hatchback,1882,Prius
310,FORD,2007,2.2,Diesel,Manual,173984,Microbus,15991,Transit
311,TOYOTA,2014,2.5,Hybrid,Automatic,111462,Sedan,11133,Camry
312,MERCEDES-BENZ,2012,3.5,Petrol,Automatic,82642,Sedan,34184,E 350
313,CHEVROLET,2018,1.4,Petrol,Automatic,15723,Sedan,21169,Cruze
314,CHEVROLET,2008,2.0,Diesel,Automatic,44419,Jeep,7495,Captiva
315,LEXUS,2011,1.8,Hybrid,Automatic,59397,Hatchback,4861,CT 200h
316,HYUNDAI,2015,2.0,LPG,Automatic,44968,Sedan,13485,Sonata
317,HYUNDAI,2012,1.6,Petrol,Automatic,91788,Sedan,20005,Elantra
318,SUBARU,2003,2.5,Petrol,Tiptronic,621,Goods wagon,3000,Outback
319,TOYOTA,2007,2.4,Hybrid,Variator,124274,Sedan,11917,Camry
320,MERCEDES-BENZ,1998,2.0,CNG,Manual,111849,Sedan,7840,E 200
321,CHEVROLET,2010,1.8,Petrol,Automatic,94630,Sedan,12570,Lacetti
322,TOYOTA,2015,1.5,Petrol,Automatic,85345,Hatchback,14009,Aqua
323,MERCEDES-BENZ,2016,2.0,Petrol,Automatic,68074,Jeep,8311,GLA 250
324,TOYOTA,2014,1.8,Petrol,Automatic,24855,Sedan,23521,Corolla
325,FORD,2016,2.0,Petrol,Tiptronic,40389,Sedan,25716,Fusion Titanium
